[16:50:07.226] title: ⠼\ scratch -> ⠦\ scratch
[16:50:07.430] title: ⠦\ scratch -> ⠏\ scratch
[16:50:07.633] title: ⠏\ scratch -> ⠙\ scratch
[16:50:07.836] title: ⠙\ scratch -> ⠸\ scratch
[16:50:08.040] title: ⠸\ scratch -> ⠴\ scratch
[16:50:08.243] title: ⠴\ scratch -> ⠧\ scratch
[16:50:08.446] title: ⠧\ scratch -> ⠏\ scratch
[16:50:08.650] title: ⠏\ scratch -> ⠋\ scratch
[16:50:08.855] title: ⠋\ scratch -> ⠸\ scratch
[16:50:09.058] title: ⠸\ scratch -> ⠴\ scratch
[16:50:09.262] title: ⠴\ scratch -> ⠧\ scratch
[16:50:09.465] title: ⠧\ scratch -> ⠏\ scratch
[16:50:09.669] title: ⠏\ scratch -> ⠋\ scratch
[16:50:09.872] title: ⠋\ scratch -> ''
